country,pop,tests,testpop,density,medianage,urbanpop,quarantine,schools,restrictions,hospibed,smokers,sex0,sex14,sex25,sex54,sex64,sex65plus,sexratio,lung,femalelung,malelung
Louisiana,,,,,,,,3/13/2020,3/16/2020,,,,,,,,,,,,
Maine,,,,,,,,3/18/2020,3/18/2020,,,,,,,,,,,,
Maryland,,,,,,,,3/16/2020,3/16/2020,,,,,,,,,,,,
Massachusetts,,,,,,,,3/17/2020,3/17/2020,,,,,,,,,,,,
Michigan,,,,,,,,3/12/2020,3/16/2020,,,,,,,,,,,,
Minnesota,,,,,,,,3/15/2020,3/17/2020,,,,,,,,,,,,
Mississippi,,,,,,,,,,,,,,,,,,,,,
Missouri,,,,,,,,3/17/2020,,,,,,,,,,,,,
Montana,,,,,,,,3/15/2020,,,,,,,,,,,,,
Nebraska,,,,,,,,,,,,,,,,,,,,,
Nevada,,,,,,,,3/16/2020,3/17/2020,,,,,,,,,,,,
New Hampshire,,,,,,,,3/16/2020,3/23/2020,,,,,,,,,,,,
New Jersey,,,,,,,3/21/2020,3/18/2020,3/16/2020,,,,,,,,,,,,
New Mexico,,,,,,,,3/16/2020,3/15/2020,,,,,,,,,,,,
New York,,,,,,,3/21/2020,3/16/2020,3/16/2020,,,,,,,,,,,,
North Carolina,,,,,,,,3/16/2020,3/17/2020,,,,,,,,,,,,
North Dakota,,,,,,,,3/15/2020,,,,,,,,,,,,,
Ohio,,,,,,,3/23/2020,3/15/2020,3/15/2020,,,,,,,,,,,,
Oklahoma,,,,,,,,,,,,,,,,,,,,,
Oregon,,,,,,,,3/15/2020,3/16/2020,,,,,,,,,,,,
Pennsylvania,,,,,,,,3/16/2020,3/17/2020,,,,,,,,,,,,
Rhode Island,,,,,,,,3/17/2020,3/17/2020,,,,,,,,,,,,
South Carolina,,,,,,,,3/14/2020,3/18/2020,,,,,,,,,,,,
South Dakota,,,,,,,,3/13/2020,,,,,,,,,,,,,
Tennessee,,,,,,,,3/16/2020,,,,,,,,,,,,,
Texas,,,,,,,,,,,,,,,,,,,,,
Utah,,,,,,,,3/16/2020,,,,,,,,,,,,,
Vermont,,,,,,,,3/16/2020,3/16/2020,,,,,,,,,,,,
Virginia,,,,,,,,3/13/2020,3/17/2020,,,,,,,,,,,,
Washington,,,,,,,,3/15/2020,3/15/2020,,,,,,,,,,,,
Washington DC,,,,,,,,3/16/2020,3/15/2020,,,,,,,,,,,,
West Virginia,,,,,,,,3/17/2020,3/17/2020,,,,,,,,,,,,
Wisconsin,,,,,,,,3/18/2020,3/17/2020,,,,,,,,,,,,
Wyoming,,,,,,,,3/15/2020,,,,,,,,,,,,,
